TradeID,EntryTime,Type,EntryPrice,SL,TP,Risk,WindowType,WindowHigh,WindowLow,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Is_Consolidating,Is_Tight_Range,Consolidation_Score,Trend_Score,EMA_9_Above_21,EMA_21_Above_50,Price_Above_EMA200_1H,ExitTime,ExitPrice,P&L,R_Multiple,Status,EntryHour,EntryDayOfWeek,RangeSize,RangeSizePct,RangeCategory,TradeID_x,ReachedTP,WaitDuration_Min,BestPossibleP&L,WouldHaveWon,TradeID_y,MaxFavorable_Min30,MinAdverse_Min30,WentAgainstFirst,Duration_Minutes
0.0,2024-11-08 16:50:00,BUY,2692.42,2688.46,2700.34,3.960000000000037,1630,2690.7,2688.46,2690.4768512604687,2689.983313957797,2689.076536688576,2688.6065369669072,1.8812789175347555,0.0698731593709285,1.052600056755617,0,0,0.0,1.0,1,1,1,2024-11-08 17:05:00,2688.46,-3.960000000000037,-1.0,SL_HIT,16,4,2.2399999999997817,0.0831965295161892,Very Small (<0.1%),0.0,True,45.0,11.679999999999836,True,0.0,2.3299999999999272,4.5,False,
1.0,2024-11-11 03:55:00,BUY,2685.68,2678.87,2699.3,6.809999999999945,300,2684.87,2678.87,2683.9520176500773,2684.078250244057,2684.9607329818805,2688.472753300088,1.229036913407978,0.0457625969366409,1.050907275116704,0,0,0.0,0.0,0,0,0,2024-11-11 05:05:00,2678.87,-6.809999999999945,-1.0,SL_HIT,3,0,6.0,0.2234071073247743,Large (0.2-0.3%),1.0,False,,-5.429999999999836,False,1.0,0.5399999999999636,3.119999999999891,False,
2.0,2024-11-11 10:15:00,BUY,2673.15,2668.48,2682.49,4.670000000000073,1000,2671.97,2668.48,2670.9047355039843,2670.6463652220814,2671.861295829944,2687.4504214868834,1.9034195176027653,0.071205114475535,1.159608672302998,0,0,0.0,0.3333333333333333,1,0,0,2024-11-11 12:20:00,2668.48,-4.670000000000073,-1.0,SL_HIT,10,0,3.4899999999997817,0.1305575818790483,Small (0.1-0.15%),2.0,False,,2.1799999999998363,True,2.0,0.900000000000091,2.25,False,
,2024-11-11 16:55:00,SELL,2657.24,2662.41,2646.9,5.170000000000073,1630,2662.41,2657.83,2659.5884449573614,2661.456406049833,2664.409546016313,2686.116336213037,2.34806237764124,0.0883647084057608,1.0334217183689909,0,0,0.0,0.0,0,0,0,2024-11-11 17:30:00,2646.9,10.340000000000146,2.0,TP_HIT,16,0,4.579999999999927,0.172359290090467,Medium (0.15-0.2%),3.0,,,,,,,,,
3.0,2024-11-12 03:15:00,BUY,2621.78,2619.29,2626.7600000000007,2.4900000000002365,300,2621.57,2619.29,2621.0613229362534,2621.2213558428984,2621.006616553518,2679.84744928274,0.997274111410012,0.0380380547341886,0.8556160260854319,0,0,0.0,0.3333333333333333,0,1,0,2024-11-12 05:25:00,2619.29,-2.4900000000002365,-1.0,SL_HIT,3,1,2.2800000000002,0.0869638184744791,Very Small (<0.1%),4.0,True,20.0,5.349999999999909,True,3.0,5.849999999999909,1.8600000000001276,False,
4.0,2024-11-12 10:30:00,BUY,2608.49,2604.12,2617.23,4.369999999999891,1000,2608.16,2604.12,2607.713117326507,2610.249508525431,2614.5013332121025,2675.615536466586,2.777373314624833,0.1064743707901825,1.2942138929821827,0,0,0.0,0.0,0,0,0,2024-11-12 10:40:00,2604.12,-4.369999999999891,-1.0,SL_HIT,10,1,4.039999999999964,0.1548788762847457,Medium (0.15-0.2%),5.0,False,,8.470000000000255,True,4.0,1.5099999999997635,0.9500000000002728,False,
5.0,2024-11-12 17:05:00,BUY,2608.01,2600.78,2622.4700000000003,7.230000000000018,1630,2606.55,2600.78,2604.8778182029773,2602.1876198956115,2600.410223157201,2670.541254002528,3.107884122142675,0.1191668790435111,1.0472825901424925,0,0,0.0,0.6666666666666666,1,1,0,2024-11-12 19:35:00,2600.78,-7.230000000000018,-1.0,SL_HIT,17,1,5.769999999999982,0.2212414829697731,Large (0.2-0.3%),6.0,False,,10.799999999999727,True,5.0,1.650000000000091,4.959999999999582,False,
,2024-11-13 03:15:00,BUY,2599.31,2597.57,2602.7899999999995,1.7399999999997815,300,2599.12,2597.57,2598.5496555122763,2598.622801215364,2599.002133427146,2664.467466448257,0.8471267118689779,0.0325904456132195,0.7819104927562756,0,1,0.5,0.0,0,0,0,2024-11-13 05:05:00,2602.7899999999995,3.4799999999995634,2.0,TP_HIT,3,2,1.5499999999997272,0.0596312098210574,Very Small (<0.1%),7.0,,,,,,,,,
6.0,2024-11-13 12:00:00,SELL,2604.49,2607.44,2598.5899999999992,2.950000000000273,1000,2607.44,2604.61,2605.954673123541,2606.0510868630163,2606.3434937924967,2659.5158886004624,1.4560569902942546,0.0559056471821452,1.016934492150108,0,1,0.5,0.0,0,0,0,2024-11-13 12:30:00,2607.44,-2.950000000000273,-1.0,SL_HIT,12,2,2.8299999999999272,0.1086585089595248,Small (0.1-0.15%),8.0,True,395.0,54.33999999999969,True,6.0,8.359999999999673,3.5400000000004184,False,
7.0,2024-11-13 16:50:00,SELL,2609.4,2611.6,2605.0000000000005,2.199999999999818,1630,2611.6,2609.49,2610.3307856232045,2610.078696287371,2609.2707277106524,2657.556718551894,1.5098767679279326,0.057862986430901,0.9487819809571294,0,0,0.0,0.6666666666666666,1,1,0,2024-11-13 17:30:00,2611.6,-2.199999999999818,-1.0,SL_HIT,16,2,2.1100000000001278,0.0808615007281416,Very Small (<0.1%),9.0,True,80.0,72.63000000000011,True,7.0,0.2600000000002183,1.360000000000127,False,
