WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode
2024-11-28_1630,1630,REVERSAL,BUY,2024-11-28 19:10:00,2024-11-28 19:15:00,2641.42,2641.18,2641.05,2642.16,0.36999999999989086,-0.24000000000023647,-0.6486486486494791,FILTER_EXIT,0.0,0.13953488372131145,0.0,3.480000000000018,2645.1000000000004,-3.680000000000291,2.6319341777382466,1,1.3222215165694444,2641.3384712849097,2641.133658447615,2642.0290130308235,2640.682052286416,2641.7270313241606,1.1201714219609697,0.042402146354388694,0.7430477856787,0.0,0.6666666666666666,0,0,1,1,1630,2646.84,2643.36,reversal_only
2024-11-29_1000,1000,REVERSAL,BUY,2024-11-29 10:50:00,2024-11-29 11:10:00,2656.7775,2661.2125000000005,2654.56,2661.2125000000005,2.2175000000002,4.4350000000004,2.0,TP_HIT,0.0,0.6593406593405001,0.0,6.0300000000002,2659.5150000000003,-2.737500000000182,3.1755235417598735,1,1.8988994793149532,2657.718313202216,2659.0483279332943,2659.4196816759268,2651.5271393515236,2642.880760188024,1.9524178311298905,0.0734571590778393,1.1328181664851271,0.0,0.3333333333333333,0,0,1,1,1000,2662.53,2656.5,reversal_only
2024-11-29_1630,1630,REVERSAL,BUY,2024-11-29 17:10:00,2024-11-29 17:55:00,2652.99,2656.789999999999,2651.09,2656.789999999999,1.8999999999996362,3.7999999999992724,2.0,TP_HIT,0.0,0.38693467336693754,0.0,4.580000000000382,2656.9700000000003,-3.980000000000473,1.499269731641365,0,3.054820559197381,2654.874611276754,2656.7093396397854,2658.6014418744576,2655.965260927804,2644.0047212381323,2.9159705980907904,0.1098571239480694,1.106465562022686,0.0,0.3333333333333333,0,0,0,1,1630,2659.26,2654.68,reversal_only
2024-12-02_1000,1000,REVERSAL,SELL,2024-12-02 10:30:00,2024-12-02 11:10:00,2630.11,2632.79,2632.79,2624.7500000000005,2.6799999999998363,-2.6799999999998363,-1.0,SL_HIT,0.0,0.7892857142855136,0.0,5.0,2629.36,0.75,2.2944251765428234,0,2.1791950555275297,2629.812682788166,2629.265297161259,2628.8971104495386,2638.4866738461033,2643.2220232849972,2.3071287305961596,0.0877983046623801,1.1589315818311632,0.0,0.6666666666666666,0,0,0,0,1000,2631.86,2626.86,reversal_only
2024-12-02_1630,1630,REVERSAL,BUY,2024-12-02 17:20:00,2024-12-02 17:30:00,2646.2799999999997,2643.47,2643.47,2651.8999999999996,2.8099999999999454,-2.8099999999999454,-1.0,SL_HIT,0.0,0.37971014492754046,0.0,3.9899999999997817,2647.005,-0.7250000000003638,1.3186275796875186,1,3.025873310601702,2646.0078639466474,2645.82784076659,2643.6282178819206,2640.209618720697,2643.0725340687745,3.154989592640997,0.11917403593896597,1.0470130913404356,0.0,1.0,0,0,1,1,1630,2649.0,2645.01,reversal_only
2024-12-03_1630,1630,REVERSAL,BUY,2024-12-03 18:40:00,2024-12-03 21:20:00,2644.435,2641.59,2641.83,2649.645,2.605000000000018,-2.8449999999998,-1.0921305182340806,FILTER_EXIT,0.0,0.6993006993007793,0.0,7.059999999999945,2652.0299999999997,-7.5949999999998,2.5390308767766046,1,2.7805884775071665,2643.4932273274544,2643.0888522580267,2643.7581807299466,2643.016680600684,2642.840178182963,2.781137530984349,0.1050659427505572,0.88291851502646,0.0,0.6666666666666666,0,0,1,1,1630,2655.56,2648.5,reversal_only
2024-12-04_1000,1000,REVERSAL,SELL,2024-12-04 11:45:00,2024-12-04 12:35:00,2640.9849999999997,2642.76,2642.76,2637.4349999999986,1.7750000000005457,-1.7750000000005457,-1.0,SL_HIT,0.0,0.6814814814815813,0.0,2.650000000000091,2640.8450000000003,0.13999999999941792,1.3817216727080315,0,1.9178971078932021,2641.0782547823883,2641.4379475344463,2643.0093113894936,2643.932591599095,2643.0319225795733,1.882017961452565,0.07128126901614475,1.0183017427966297,0.5,0.0,0,1,0,0,1000,2642.17,2639.52,reversal_only
2024-12-04_1630,1630,REVERSAL,BUY,2024-12-04 17:30:00,2024-12-04 17:45:00,2653.6349999999998,2651.75,2651.75,2657.4049999999993,1.8849999999997635,-1.8849999999997635,-1.0,SL_HIT,0.0,0.49683544303783395,0.0,3.8299999999999272,2651.555,2.0799999999999272,1.2814516270499128,1,2.988797953159685,2652.105582375825,2650.0794192256444,2647.2822441438525,2644.814375362905,2643.2477065540234,2.8519989398979186,0.10742113620485047,0.9017492663494346,0.0,1.0,0,0,1,1,1630,2653.47,2649.64,reversal_only
2024-12-05_0300,0300,REVERSAL,BUY,2024-12-05 03:55:00,2024-12-05 04:00:00,2646.8025000000002,2646.61,2646.61,2647.1875000000005,0.19250000000010914,-0.19250000000010914,-1.0,SL_HIT,0.0,0.7662337662337471,0.0,3.25,2649.055,-2.2524999999996,2.149351095624877,0,1.5120842781877537,2647.9266367686196,2648.584037990567,2649.2492281444365,2648.3998319346083,2643.8051786311194,1.3744988578388675,0.0519252931671194,1.2737384518885961,0.0,0.3333333333333333,0,0,0,1,0300,2650.68,2647.43,reversal_only
2024-12-05_1000,1000,REVERSAL,BUY,2024-12-05 10:35:00,2024-12-05 10:40:00,2645.0875,2646.4825000000005,2644.39,2646.4825000000005,0.6975000000002183,1.3950000000004366,2.0,TP_HIT,0.0,0.4297520661156745,0.0,3.8200000000001637,2648.2799999999997,-3.1924999999996544,2.119695564427408,0,1.8021455835956603,2646.1322670166414,2647.2378364786045,2648.0894414673476,2648.3148263952503,2644.0660631817022,1.683996444702763,0.06365368559786068,0.9977467188006199,0.0,0.3333333333333333,0,0,0,1,1000,2650.19,2646.37,reversal_only
2024-12-06_1000,1000,REVERSAL,SELL,2024-12-06 11:15:00,2024-12-06 12:10:00,2643.045,2638.835,2645.15,2638.835,2.105000000000018,4.210000000000036,2.0,TP_HIT,0.0,0.5663716814157618,0.0,2.7600000000002183,2640.12,2.925000000000182,1.6147707723016076,1,1.7092209292754676,2642.301227722214,2641.0957831051173,2639.391147675125,2636.7884764879,2642.651623724283,2.1167542878896057,0.08014699566806151,1.2549333618158243,0.0,0.6666666666666666,0,0,1,0,1000,2641.5,2638.74,reversal_only
2024-12-06_1630,1630,REVERSAL,SELL,2024-12-06 17:40:00,2024-12-06 18:20:00,2636.475,2639.53,2639.53,2630.3649999999993,3.055000000000291,-3.055000000000291,-1.0,SL_HIT,0.0,0.809644670050764,0.0,6.4699999999998,2629.115,7.360000000000127,1.462450298612006,0,4.424081971291878,2636.2394775850244,2635.464394183108,2635.848461085724,2636.641498590528,2642.296080507442,3.556229893548606,0.13499356178321975,0.8332737993029491,0.0,0.3333333333333333,0,0,0,0,1630,2632.35,2625.88,reversal_only
2024-12-09_1000,1000,REVERSAL,BUY,2024-12-09 11:00:00,2024-12-09 11:40:00,2649.535,2654.665,2646.97,2654.665,2.5650000000000546,5.130000000000109,2.0,TP_HIT,0.0,0.8756756756756597,0.0,1.8099999999999454,2650.135,-0.6000000000003638,1.0695330173476527,1,1.6923273715182587,2649.0549654475644,2647.9949263758826,2645.434414286729,2640.7591420714566,2642.0415410267306,1.9194328760664596,0.07241038928562114,1.0410023594457412,0.5,1.0,0,1,1,1,1000,2651.04,2649.23,reversal_only
2024-12-09_1630,1630,REVERSAL,BUY,2024-12-09 19:10:00,2024-12-09 19:20:00,2667.215,2666.04,2666.04,2669.5650000000005,1.175000000000182,-1.175000000000182,-1.0,SL_HIT,0.0,0.7859778597786276,0.0,6.210000000000036,2669.435,-2.2199999999998,2.5442617791005198,1,2.4407865774706075,2667.5889768634997,2668.2216716819057,2666.5123805769404,2654.9051479622053,2643.716034602908,2.2348398111433934,0.08378093973125922,0.8747740910025621,0.5,0.6666666666666666,0,1,1,1,1630,2672.54,2666.33,reversal_only
2024-12-10_0300,0300,REVERSAL,BUY,2024-12-10 03:55:00,2024-12-10 04:00:00,2664.1949999999997,2667.704999999999,2662.44,2667.704999999999,1.7549999999996544,3.509999999999309,2.0,TP_HIT,0.0,0.7392739273927685,0.0,3.6900000000000546,2664.7250000000004,-0.5300000000006548,2.0030371557881383,1,1.842202472049573,2663.9436923527,2662.919648253147,2661.9285919702484,2658.838293646703,2644.958245921443,2.352561675660578,0.0881944942458801,1.5389232533770578,0.0,1.0,0,0,1,1,0300,2666.57,2662.88,reversal_only
2024-12-10_1000,1000,REVERSAL,BUY,2024-12-10 10:30:00,2024-12-10 10:35:00,2662.3900000000003,2664.1900000000014,2661.49,2664.1900000000014,0.9000000000005457,1.8000000000010914,2.0,TP_HIT,0.0,0.5692307692306544,0.0,3.5599999999999454,2663.79,-1.3999999999996362,1.885050833863568,0,1.8885432350402085,2663.710222371644,2665.5711456447593,2667.0832060339717,2664.065034218606,2646.513389269004,1.7448169187635472,0.06551629701197619,1.130527034031583,0.0,0.3333333333333333,0,0,0,1,1000,2665.57,2662.01,reversal_only
2024-12-11_1000,1000,REVERSAL,BUY,2024-12-11 11:15:00,2024-12-11 11:30:00,2688.5225,2693.6875,2685.94,2693.6875,2.582499999999982,5.164999999999964,2.0,TP_HIT,0.0,0.6272189349113246,0.0,4.960000000000036,2690.12,-1.5974999999998545,1.9558603524665032,0,2.5359683751168953,2690.289908788939,2690.891752110582,2691.1817903583847,2689.7708758080516,2655.694615083592,2.9266606906433457,0.10873756509009307,1.127454307354987,0.5,0.3333333333333333,0,1,1,1,1000,2692.6,2687.64,reversal_only
2024-12-12_0300,0300,REVERSAL,BUY,2024-12-12 05:00:00,2024-12-12 05:40:00,2705.3424999999997,2708.8674999999994,2703.58,2708.8674999999994,1.762499999999818,3.524999999999636,2.0,TP_HIT,0.0,0.6011904761902312,0.0,8.300000000000182,2722.0,-16.657500000000255,3.2582268446338207,0,2.547397831943462,2706.134294234764,2708.7067865171202,2712.5131132041975,2709.5665046945737,2664.2959913455275,2.1789138765343,0.08050937871698302,0.792822496611731,0.0,0.3333333333333333,0,0,0,1,0300,2726.15,2717.85,reversal_only
2024-12-12_1000,1000,REVERSAL,BUY,2024-12-12 12:25:00,2024-12-12 13:00:00,2712.4025,2710.28,2710.28,2716.6475,2.1224999999999454,-2.1224999999999454,-1.0,SL_HIT,0.0,0.2661290322580039,0.0,2.980000000000018,2716.38,-3.9774999999999636,1.469791559679142,1,2.027498375790481,2713.4266703871444,2714.6063476686354,2715.0856611418535,2712.458102669531,2667.717109352441,2.312538277454969,0.0852382125319281,1.118266089380369,0.0,0.3333333333333333,0,0,1,1,1000,2717.87,2714.89,reversal_only
2024-12-12_1630,1630,REVERSAL,BUY,2024-12-12 17:50:00,2024-12-12 18:05:00,2678.4825,2683.2875000000004,2676.08,2683.2875000000004,2.4025000000001455,4.805000000000291,2.0,TP_HIT,0.0,0.7698056801195888,0.0,5.800000000000182,2683.71,-5.227499999999964,1.3523739716117809,0,4.288754532215412,2681.2091422756675,2685.54291665027,2694.1263772887687,2705.820565417299,2669.1000975361662,4.467731181975142,0.1667480744057336,1.1006006274077071,0.0,0.3333333333333333,0,0,0,1,1630,2686.61,2680.81,reversal_only
2024-12-13_1000,1000,REVERSAL,BUY,2024-12-13 11:25:00,2024-12-13 11:40:00,2672.3199999999997,2670.48,2670.59,2675.779999999999,1.7299999999995634,-1.8399999999996908,-1.0635838150289914,FILTER_EXIT,0.0,0.8819672131148509,0.0,2.4900000000002365,2682.7650000000003,-10.445000000000618,1.3789443088217217,0,1.8057291973799057,2674.8171684321405,2678.3052037156035,2681.994385679405,2687.2017244802914,2671.345922347748,2.6389513314441606,0.09870884399092418,1.2890296487029453,0.0,0.3333333333333333,0,0,0,1,1000,2684.01,2681.52,reversal_only
2024-12-13_1630,1630,REVERSAL,SELL,2024-12-13 18:15:00,2024-12-13 18:25:00,2662.215,2659.1850000000004,2663.73,2659.1850000000004,1.5149999999998727,3.0299999999997453,2.0,TP_HIT,0.0,0.8390092879257032,0.0,5.130000000000109,2659.935,2.2800000000002,1.9205126564301038,0,2.671161776947557,2660.8104114024,2660.572915584915,2662.876674127969,2674.4105822775605,2670.848602209044,2.538694845796172,0.09542100212725979,0.938383827003343,0.0,0.3333333333333333,0,0,0,0,1630,2662.5,2657.37,reversal_only
2024-12-16_0300,0300,REVERSAL,SELL,2024-12-16 03:35:00,2024-12-16 03:40:00,2653.6875,2654.07,2654.07,2652.9224999999997,0.3825000000001637,-0.3825000000001637,-1.0,SL_HIT,0.0,0.8918918918918379,0.0,4.859999999999673,2649.21,4.477499999999964,2.1047962799533666,0,2.3090120627291064,2651.9813144417444,2650.912062075403,2651.027650761297,2660.3348097232783,2669.2449828969675,2.124574667204682,0.08006869072617742,1.2302963706488872,0.0,0.3333333333333333,0,0,0,0,0300,2651.64,2646.78,reversal_only
2024-12-16_1000,1000,REVERSAL,SELL,2024-12-16 10:40:00,2024-12-16 13:25:00,2659.42,2662.03,2662.03,2654.2,2.6100000000001273,-2.6100000000001273,-1.0,SL_HIT,0.0,0.8287292817679808,0.0,2.980000000000018,2653.7799999999997,5.640000000000327,1.5905142411818982,1,1.8736078702354808,2657.401551890699,2655.7448155302936,2654.326880939847,2656.515522678721,2668.202850663057,1.9667356914921887,0.07398026268938365,1.348857548136568,0.0,0.6666666666666666,0,0,1,0,1000,2655.27,2652.29,reversal_only
2024-12-17_0300,0300,REVERSAL,SELL,2024-12-17 04:20:00,2024-12-17 04:25:00,2658.0299999999997,2657.0099999999993,2658.54,2657.0099999999993,0.5100000000002183,1.0200000000004366,2.0,TP_HIT,0.0,0.4642857142857433,0.0,3.0099999999997635,2655.865,2.1649999999999636,2.1727329932158663,1,1.3853520010963964,2657.542407859659,2656.3977656874913,2654.9001459146216,2655.109043780342,2666.26187923158,1.1894997901397015,0.044758083929971236,0.9155055496067972,0.0,0.6666666666666666,0,0,1,0,0300,2657.37,2654.36,reversal_only
2024-12-18_1000,1000,REVERSAL,SELL,2024-12-18 11:10:00,2024-12-18 11:25:00,2648.025,2648.96,2648.96,2646.155,0.9349999999999454,-0.9349999999999454,-1.0,SL_HIT,0.0,0.9246031746031524,0.0,2.619999999999891,2643.46,4.565000000000055,1.664655825230605,0,1.5738989166946518,2647.4695706078437,2646.58297296444,2646.2390579386474,2646.2052435605137,2660.9282382150045,1.5621336545990323,0.05899786442223418,0.9503840012753751,0.0,0.6666666666666666,0,0,1,0,1000,2644.77,2642.15,reversal_only
2024-12-19_0300,0300,REVERSAL,SELL,2024-12-19 04:00:00,2024-12-19 08:00:00,2612.62,2605.3999999999996,2616.23,2605.3999999999996,3.6100000000001273,7.220000000000255,2.0,TP_HIT,0.0,0.2881844380403624,0.0,8.599999999999909,2597.55,15.069999999999709,3.0738192793714685,0,2.7978222590101094,2609.7674368008265,2604.163090450451,2601.5677433252945,2619.6132460809263,2655.0677614616857,3.97856834241866,0.1523999502958565,1.4287731323595032,0.0,0.6666666666666666,0,0,0,0,0300,2601.85,2593.25,reversal_only
